"Guide Title","Guide #","# of pages","Country","State/Province","Category/Subcategory","Authors","Date created","Year published","Language"
"Rio de Janeiro - Croton of Itatiaia National Park","1130","1","Brazil","Rio de Janeiro","Plants","Maria Beatriz Rossi Caruzo","February, 2019","2019","English"
"Amazonas - Flowers and Fruits of White-Sand Vegetation","1129","10","Brazil","Amazonas","Plants","Francisco Farroñay, Alberto Vicentini","February, 2019","2019","English"
"Loreto - Fauna registered by camera traps of the Pucacuro National Reserve","1123","3","Peru","Loreto","Animals, Birds, Mammals","Rodrigo H. Falcón Ayapi, Maicon D. Hidalgo Vilchez, Cristian N. Gonzales Tanchiva, Claudia C. Ríos Rengifo, Manuel Pimentel Tello, Edson R. Del Aguilla Alván, Rosa V. Flores Del Aguila, Gisselly Rivas Jimenez, Carlos A. Dávila Zevallos","February, 2019","2019","English"
"Apurímac - Aquatic birds of Lake Pacucha","1112","4","Peru","Apurímac","Animals, Birds","Víctor J. Vargas G, Jaime Valenzuela T., Jan R. Baiker, Joel Ayala","February, 2019","2019","English"
"Cundinamarca - Birds of Ecoparque Sabana","1111","18","Colombia","Cundinamarca","Animals, Birds","Luis Fernando Castro Vargas, Darwin Ortega Chamorro, Gerson Cruz Mendivelso","February, 2019","2019","English"
"Orellana - Conspicuous Plants of Yasuní","1110","31","Ecuador","Orellana","Plants","Ricardo Zambrano C. , Wilson Loor, Renato Valencia, Álvaro J. Pérez","February, 2019","2019","English"
"Minas Gerais - Plants of Wet Fields of Serra do Cipó","1108","5","Brazil","Minas Gerais","Plants","Guilherme Medeiros Antar, Marcela Escaramai da Silva, Marcelo Tomé Kubo , Paulo Takeo Sano","January, 2019","2019","English"
"Falcón - Amphibians and Reptiles of Fundo El Trébol","1107","5","Venezuela","Falcón","Animals, Amphibians, Reptiles","Ely David Gómez-Fonseca, Margareth Voelger","February, 2019","2019","English"
"Los Ríos - Birds from the vicinity of the Universidad Técnica de Babahoyo","1104","2","Ecuador","Los Ríos","Animals, Birds","Gonzalo Peñafiel Nivela, Jaime Arellano Merino","February, 2019","2019","English"
"Putumayo - Fishes of Resguardo Indígena Yunguillo","1103","3","Colombia","Mocoa, Putumayo","Animals, Fishes","Camila Chindoy, Carmenza Ruth Chindoy, Eliseo Chindoy, Menandro Garreta Chindoy, Tomás Chindoy, Jorge Enrique García-Melo, Javier A. Maldonado Ocampo, Mariana A. Moscoso Rodríguez, María Mariela Muchavisoy, Orlando Muchavisoy, María Elvira Mutumbajoy Muchavisoy, Pedro Pablo Mutumbajoy, Telesporo Mutumbajoy, Besnayda Robledo, Alexander Urbano-Bonilla","January, 2019","2019","English"
"Madre De Dios - Mammals of Finca Las Piedras","1101","3","Peru","Madre de Dios","Animals, Mammals","Barbara Hendus","February, 2019","2019","English"
"Lima - Birds of the Universidad Agraria La Molina Campus","1100","3","Peru","Lima","Animals, Birds","Julio Salvador, Shirley Freyre","February, 2019","2019","English"
"Bolívar - Seeds of Cartagena Botanical Garden","1099","4","Colombia","Bolívar","Plants, Seeds","Maria Paula Contreras, Viviana Londoño, Santiago Madriñán","February, 2019","2019","English"
